Name,Product Id,Price,Material
Lima 3413 Sand Rug by ITC Natural Luxury Flooring,IT2102,£324.00,"Natural Fibers , Polypropylene"
Marbles Taupe Luxury Wool Rug by Origins,RG10104,£109.00,Wool
Marrakesh Dark Blue Traditional Rug By Think Rugs,TR8719-1,£23.39,Polypropylene
Marbles Grey Luxury Wool Rug by Origins,RG10101,£109.00,Wool
Lima 3412 Light Beige Rug by ITC Natural Luxury Flooring,IT2101,£324.00,"Natural Fibers , Polypropylene"
Lima 3415 Dark Beige Rug by ITC Natural Luxury Flooring,IT2103,£324.00,"Natural Fibers , Polypropylene"
Lima 3416 Grey Rug by ITC Natural Luxury Flooring,IT2104,£324.00,"Natural Fibers , Polypropylene"
Lima 3423 Silver Rug by ITC Natural Luxury Flooring,IT2105,£324.00,"Natural Fibers , Polypropylene"
Lima 3427 Black Rug by ITC Natural Luxury Flooring,IT2106,£324.00,"Natural Fibers , Polypropylene"
Retro Dash Grey  Traditional Rug by ITC Natural Luxury Flooring,IT2302,£350.00,Cotton
Retro Ash Grey Traditional Rug by ITC Natural Luxury Flooring,IT2303,£350.00,Cotton
Retro Sand Traditional Rug by ITC Natural Luxury Flooring,IT2304,£530.00,Cotton
Retro Charcoal Traditional Rug by ITC Natural Luxury Flooring,IT2301,£350.00,Cotton
Retro Azur Blue 1 Traditional Rug by ITC Natural Luxury Flooring,IT2305,£350.00,Cotton
Union Oyster Textured Wool Rug by Rug Guru,RG1605,£185.00,Wool
Retro Azur Blue 2 Traditional Rug by ITC Natural Luxury Flooring,IT2306,£350.00,Cotton
Atlantic Streaks 8717 Parsons Powder Rug by Louis De Poortere,DP2110,£168.00,"Cotton , Polyester , Others"
Orient Oyster Stripe Wool Rug by Rug Guru,RG1505-1,£113.40,Viscose
Antique Heriz 8705 Seray Orange Rug by Louis De Poortere,DP2303,£399.00,Cotton
Antiquarian Bakhtiari Khedive Multi 8713 Rug by Louis De Poortere,DP2403,£399.00,Cotton
